X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-77.1846,-140.141,0.75903,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.45948,0.689026,1.12183,,5.73819e+10,0.33765,
-78.9599,-134.434,0.759112,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,4.48809,0.731567,1.12441,,5.73819e+10,3.36367,
-78.0707,-141.177,0.757939,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.34115,0.709229,1.15383,,5.73819e+10,0.187321,
-73.6958,-135.861,0.766259,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,2.43774,0.614471,1.00163,,5.73819e+10,1.43611,
-78.0457,-141.924,0.757939,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.30578,0.708618,1.15922,,5.73819e+10,0.146564,
-81.0933,-138.807,0.754498,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.89267,0.780579,1.21431,,5.73819e+10,0.678356,
-79.1413,-140.271,0.757028,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.92531,0.734344,1.17545,,5.73819e+10,0.749866,
126.273,-151.259,1.44229,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-3.96913,3.7912,-4.45644,,5.73819e+10,0.487305,
130.866,15.5602,1.52419,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,0.858643,4.01978,0.469528,,5.73819e+10,0.389114,
178.062,-160.64,1.13399,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-5.29475,7.37067,-6.58549,,5.73819e+10,1.29074,
193.695,-138.794,1.08286,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-5.56439,8.66888,-6.16093,,5.73819e+10,0.596535,
182.266,-138.564,1.12344,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-5.56279,7.7063,-5.80459,,5.73819e+10,0.241798,
172.927,-150.021,1.14944,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-6.08585,6.96924,-5.9845,,5.73819e+10,-0.101341,
70.6659,-130.396,1.6835,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-1.93126,1.31964,-2.30428,,5.73819e+10,0.373024,
152.455,-161.9,1.32204,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-4.73416,5.42331,-5.68394,,5.73819e+10,0.949781,
181.474,-138.311,1.12561,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-5.51896,7.6424,-5.77055,,5.73819e+10,0.251587,
176.815,-161.049,1.1464,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-5.1095,7.26538,-6.5529,,5.73819e+10,1.4434,
151.194,-55.2424,1.38355,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,-1.67661,5.31128,-1.9147,,5.73819e+10,0.238098,
-165.739,-83.8449,0.716052,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.65276,4.28409,2.13125,,5.73819e+10,-0.478485,
-157.552,-63.2669,0.726049,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.73136,3.83311,1.51065,,5.73819e+10,0.220711,
-149.937,-61.7355,0.726018,-0.000406412,0.00574517,0.0706221,0.0702101,,5.73819e+10,1.19826,3.42085,1.3792,,5.73819e+10,-0.180946,
